# WEEKLY LINK RANKING
ZCZC W02 kalooshfv
ZCZC W02 edutjie
ZCZC W02 bonaventuragal
ZCZC W03 al-ayubi2020
ZCZC W03 Alfredooooooo
ZCZC W03 AlvaroLuqmanW
ZCZC W04 arkanalexei
ZCZC W04 bayurisma29
ZCZC W04 bagas-shalahuddin
ZCZC W05 bryan273
ZCZC W05 bryan-ilman
ZCZC W05 cinvetsin
ZCZC W06 dapulmh
ZCZC W06 dhafinn
ZCZC W06 diafias
ZCZC W07 divanyh
ZCZC W07 edutjie
ZCZC W07 electyrion
ZCZC W08 fabianark
ZCZC W08 fajarriv
ZCZC W08 febriankimham
ZCZC W09 ferupk
ZCZC W09 fideraphael
ZCZC W09 ghaziangunawan
ZCZC W10 gibranoderenz
ZCZC W10 HansTM
ZCZC W10 hugo-setiawan
